t_recv,t_capture_sec,t_capture_nanosec,latency_ms,x,y,z,qx,qy,qz,qw
1762455943.9977694,1762455903,237540175,40760.229,-0.8123573660850525,-0.8369536399841309,0.05230829864740372,-0.014575396664440632,0.02524949423968792,-0.19223777949810028,0.9809151887893677
1762455943.9984536,1762455903,252153974,40746.300,-0.8079358339309692,-0.8295221924781799,0.05219510942697525,-0.00569706317037344,0.022253111004829407,-0.19218866527080536,0.9810891151428223
1762455944.0030413,1762455903,267570528,40735.471,-0.8036450743675232,-0.8224011063575745,0.051996998488903046,0.00430108979344368,0.017521671950817108,-0.19122911989688873,0.9813795685768127
1762455944.0037246,1762455903,283366181,40720.358,-0.7993420958518982,-0.815058708190918,0.05189980939030647,0.016000553965568542,0.012154030613601208,-0.18939298391342163,0.9816957712173462
1762455944.0089848,1762455903,298655624,40710.329,-0.7944086790084839,-0.8068701028823853,0.0518798865377903,0.011569519527256489,0.013311468064785004,-0.18784017860889435,0.9820412397384644
1762455944.014596,1762455903,313451150,40701.145,-0.7918782830238342,-0.8027126789093018,0.05185184255242348,0.01344471238553524,0.014560465700924397,-0.1873396933078766,0.9820953011512756
1762455944.0286736,1762455903,329698466,40698.975,-0.7862540483474731,-0.7936198711395264,0.05204005166888237,0.002115819836035371,0.018979046493768692,-0.1855015903711319,0.9824584126472473
1762455944.045766,1762455903,344916671,40700.850,-0.7811207175254822,-0.7848120927810669,0.0521288700401783,-0.0018085067858919501,0.02003125473856926,-0.18592524528503418,0.9823580384254456
1762455944.0638714,1762455903,360605816,40703.266,-0.7761008739471436,-0.7761566638946533,0.05194897949695587,-0.0039002965204417706,0.019472651183605194,-0.1815279722213745,0.9831852912902832
1762455944.1286726,1762455903,376113374,40752.559,-0.7711407542228699,-0.7676324844360352,0.05184139311313629,0.0010497820330783725,0.017800645902752876,-0.1796848475933075,0.9835626482963562
1762455944.1530526,1762455903,391423979,40761.629,-0.7663047909736633,-0.7592574954032898,0.05183558538556099,0.007289492525160313,0.014845225028693676,-0.17633947730064392,0.9841904640197754
1762455944.154106,1762455903,406544197,40747.562,-0.7637976408004761,-0.7551182508468628,0.051952555775642395,0.010480205528438091,0.01477699913084507,-0.1744200885295868,0.9845046997070312
1762455944.1580493,1762455903,422044211,40736.005,-0.7587273120880127,-0.7462963461875916,0.051891427487134933,0.008677808567881584,0.01607351191341877,-0.17008894681930542,0.9852594137191772
1762455944.1860526,1762455903,452931307,40733.121,-0.748945415019989,-0.728364884853363,0.05192180350422859,0.008577203378081322,0.014495591633021832,-0.15913495421409607,0.9871132373809814
1762455944.214133,1762455903,468822363,40745.311,-0.7441402673721313,-0.7195998430252075,0.05190477520227432,0.00916408933699131,0.014758621342480183,-0.15241901576519012,0.9881632924079895
1762455944.2677774,1762455903,483129908,40784.647,-0.7394374012947083,-0.7104371786117554,0.05194072797894478,0.008337587118148804,0.017387183383107185,-0.1476733684539795,0.9888482689857483
1762455944.2688754,1762455903,498556380,40770.319,-0.7349799871444702,-0.7013517618179321,0.051976751536130905,0.005949551705271006,0.01603836752474308,-0.14265911281108856,0.9896240234375
1762455944.3058834,1762455903,544780551,40761.103,-0.724346935749054,-0.6791337728500366,0.05211681127548218,0.009281533770263195,0.014249349012970924,-0.13178761303424835,0.9911320805549622
1762455944.3402812,1762455903,560376946,40779.904,-0.7202346324920654,-0.6703324317932129,0.052127256989479065,0.009626335464417934,0.01513796579092741,-0.1292993724346161,0.991443395614624
1762455944.3411205,1762455903,575787145,40765.333,-0.7161496877670288,-0.661246120929718,0.052268464118242264,0.009075319394469261,0.016482040286064148,-0.12612731754779816,0.9918356537818909
1762455944.5767212,1762455903,606565638,40970.155,-0.7103208899497986,-0.647941529750824,0.05217525362968445,0.010590423829853535,0.016009561717510223,-0.12189814448356628,0.9923569560050964
1762455944.5775385,1762455903,621734675,40955.804,-0.706421434879303,-0.638934314250946,0.05218329280614853,0.010856260545551777,0.01523859053850174,-0.1189703568816185,0.9927215576171875
1762455944.590586,1762455903,637723718,40952.862,-0.7025065422058105,-0.6297515034675598,0.05219908803701401,0.011843029409646988,0.01493777148425579,-0.11540953069925308,0.9931350946426392
1762455944.5939794,1762455903,653427529,40940.552,-0.6984992623329163,-0.6202884316444397,0.05233866348862648,0.0046599991619586945,0.017580099403858185,-0.11239095032215118,0.9934976696968079
1762455944.5952094,1762455903,668323347,40926.886,-0.6946341395378113,-0.6108803153038025,0.05244271829724312,0.004116545431315899,0.016947515308856964,-0.10853470116853714,0.9939396977424622
